,response_id,gispropnum,collected_date,time_of_day,group,location,ground_syringes,kiosk_syringes,total_syringes,precinct,borough,district,property_type,kiosk_site,latitude,longitude
5955,G-006888,M037,2020-11-01,Daily,Parks,Highbridge Park,110.0,,110.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5956,G-006889,M037,2020-11-02,Daily,Parks,Highbridge Park,109.0,,109.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5957,G-006890,M037,2020-11-03,Daily,Parks,Highbridge Park,8.0,,8.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5958,G-006891,M037,2020-11-04,Daily,Parks,Highbridge Park,165.0,,165.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5959,G-006892,M037,2020-11-05,Daily,Parks,Highbridge Park,61.0,,61.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5960,G-006893,M037,2020-11-06,Daily,Parks,Highbridge Park,95.0,,95.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5961,G-006910,M037,2020-11-08,Daily,Parks,Highbridge Park,105.0,,105.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5962,G-006911,M037,2020-11-09,Daily,Parks,Highbridge Park,92.0,,92.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5963,G-006912,M037,2020-11-10,Daily,Parks,Highbridge Park,145.0,,145.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5964,G-006913,M037,2020-11-11,Daily,Parks,Highbridge Park,70.0,,70.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5965,G-006914,M037,2020-11-12,Daily,Parks,Highbridge Park,91.0,,91.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5966,G-006915,M037,2020-11-13,Daily,Parks,Highbridge Park,87.0,,87.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5967,G-006949,M037,2020-11-15,Daily,Parks,Highbridge Park,,,,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5968,G-006950,M037,2020-11-16,Daily,Parks,Highbridge Park,77.0,,77.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5969,G-006952,M037,2020-11-17,Daily,Parks,Highbridge Park,44.0,,44.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5970,G-006953,M037,2020-11-18,Daily,Parks,Highbridge Park,31.0,,31.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5971,G-006954,M037,2020-11-19,Daily,Parks,Highbridge Park,38.0,,38.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5972,G-006991,M037,2020-11-22,Daily,Parks,Highbridge Park,68.0,,68.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5973,G-006992,M037,2020-11-23,Daily,Parks,Highbridge Park,30.0,,30.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5974,G-006997,M037,2020-11-27,Daily,Parks,Highbridge Park,34.0,,34.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5975,G-006998,M037,2020-11-26,Daily,Parks,Highbridge Park,16.0,,16.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5976,G-006999,M037,2020-11-25,Daily,Parks,Highbridge Park,28.0,,28.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5977,G-007036,M037,2020-11-29,Daily,Parks,Highbridge Park,61.0,,61.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5978,G-007037,M037,2020-11-30,Daily,Parks,Highbridge Park,66.0,,66.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5979,G-007038,M037,2020-12-01,Daily,Parks,Highbridge Park,73.0,,73.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5980,G-007045,M037,2020-12-03,Daily,Parks,Highbridge Park,81.0,,81.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5981,G-007532,M037,2021-03-09,Daily,Parks,Highbridge Park,501.0,,501.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5982,G-007556,M037,2021-03-09,Daily,Parks,Highbridge Park,516.0,,516.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5983,G-007557,M037,2021-03-11,Daily,Parks,Highbridge Park,360.0,,360.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5984,G-007554,M037,2021-03-10,Daily,Parks,Highbridge Park,520.0,,520.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5985,G-007502,M037,2021-03-01,Daily,Parks,Highbridge Park,28.0,,28.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5986,G-007503,M037,2021-03-02,Daily,Parks,Highbridge Park,69.0,,69.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5987,G-007504,M037,2021-03-03,Daily,Parks,Highbridge Park,66.0,,66.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5988,G-007512,M037,2021-03-04,Daily,Parks,Highbridge Park,132.0,,132.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5989,G-007519,M037,2021-03-05,Daily,Parks,Highbridge Park,10.0,,10.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5990,G-007567,M037,2021-03-12,Daily,Parks,Highbridge Park,50.0,,50.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5991,G-007577,M037,2021-03-14,Daily,Parks,Highbridge Park,94.0,,94.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5992,G-007578,M037,2021-03-15,Daily,Parks,Highbridge Park,66.0,,66.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5993,G-007579,M037,2021-03-16,Daily,Parks,Highbridge Park,282.0,,282.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5994,G-007580,M037,2021-03-17,Daily,Parks,Highbridge Park,503.0,,503.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5995,G-007581,M037,2021-03-18,Daily,Parks,Highbridge Park,330.0,,330.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5996,G-007582,M037,2021-03-19,Daily,Parks,Highbridge Park,41.0,,41.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5997,G-007583,M037,2021-03-20,Daily,Parks,Highbridge Park,15.0,,15.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5998,G-007590,M037,2021-03-21,Daily,Parks,Highbridge Park,92.0,,92.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
5999,G-007591,M037,2021-03-22,Daily,Parks,Highbridge Park,85.0,,85.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6000,G-007592,M037,2021-03-23,Daily,Parks,Highbridge Park,660.0,,660.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6001,G-007593,M037,2021-03-24,Daily,Parks,Highbridge Park,542.0,,542.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6002,G-007594,M037,2021-03-25,Daily,Parks,Highbridge Park,1029.0,,1029.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6003,G-007596,M037,2021-03-28,Daily,Parks,Highbridge Park,44.0,,44.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6004,G-007597,M037,2021-03-29,Daily,Parks,Highbridge Park,68.0,,68.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6005,G-007598,M037,2021-03-30,Daily,Parks,Highbridge Park,583.0,,583.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6006,G-007599,M037,2021-03-31,Daily,Parks,Highbridge Park,515.0,,515.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6007,G-007600,M037,2021-04-01,Daily,Parks,Highbridge Park,616.0,,616.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6008,G-007601,M037,2021-04-02,Daily,Parks,Highbridge Park,88.0,,88.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6009,G-007396,M037,2021-01-24,Daily,Parks,Highbridge Park,55.0,,55.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6010,G-007397,M037,2021-01-25,Daily,Parks,Highbridge Park,39.0,,39.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6011,G-007398,M037,2021-01-26,Daily,Parks,Highbridge Park,101.0,,101.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6012,G-007399,M037,2021-01-27,Daily,Parks,Highbridge Park,178.0,,178.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
6013,G-007400,M037,2021-01-28,Daily,Parks,Highbridge Park,181.0,,181.0,32.0,Manhattan,M-12A,PARK,True,40.84649764077546,-73.93046413518206
